Ссылка на продукт,Наименование,Цена,Рейтинг пользователей,Описание продукта,Инструкция по применению,Страна-производитель
https://goldapple.ru/19000179910-oregano,Maluna Набор свечей oregano 7 шт,276,5.0,"Розовые свечи с душицей помогают укрепить брачные узы и принести в отношения покой и стабильность. Идеально подходят для медитаций и практик, направленных на достижения баланса и уверенности в завтрашнем дне, а также при раскладах таро и загадывании желаний. Каждая свеча изготавливается вручную в период растущей луны, чтобы привлечь в вашу жизнь желаемое. Свечи не содержат отдушек и ароматизаторов, поэтому обладают натуральным ароматом.","Поджигайте свечи с помощью спичек. Чтобы свеча устойчиво стояла на подсвечнике, проведите огнём по низу свечи. Не зажигайте свечу с легко воспламеняемыми предметами. Не оставляйте свечу без присмотра.",Россия
https://goldapple.ru/83810100005-momento,MiN NEW YORK Парфюмерная вода MOMENTO 75 мл,22400,4.8,"Всё лучшее – вне времени. Аромат MiN NEW YORK Momento возвращает забытые сокровища из прошлого. Столь хорошо знакомые места из детства. Чёрно-белые фотографии. Ощущение любви и счастья. Бергамот, лимон, полынь и альдегиды воскрешают красоту ценных моментов. В сердце приятных воспоминаний – лаванда, роза, жасмин и вербена, в базе аромата – гваяковое дерево, опопанакс и пачули.",нет,Франция
https://goldapple.ru/99000078236-fig-moss,YM INTERIOR Диффузор Fig Moss 100 мл,2290,нет,"Изысканный аромат спелого инжира, усиленный нотами зелёных цветов и листьев, составляет основу этого аромата. Базовые ноты легкого мускуса, дерева и мха уравновешивают цветочные аккорды, делая аромат более глубоким.","Окуните ротанговые палочки во флакон с жидкостью. Чем больше палочек, тем ярче аромат. Для большей интенсивности рекомендуется периодически переворачивать палочки. В зависимости от условий окружающей среды (температуры, влажности, движения воздуха) диффузор может иметь разный срок службы. Рекомендуется размещать диффузор в помещениях площадью до 20 квадратных метров, где есть небольшое движение воздуха.",Россия
https://goldapple.ru/19000235475-sarmadi,KHAYALI Парфюмерная вода SARMADI 100 мл,9751,нет,"Мягкая восточная композиция SARMADI обволакивает нежной вуалью, сотканной из бархатной розы, сливочного сандала и ванильно-мускусной пудры, наполняет тело радостью, и озаряет его теплым светом. Аромат восточного сада, прячущего под тенью листьев сказочные истории.","Только на чистую кожу. Наносите парфюм только на тело, не на одежду. Наносить парфюм на несколько точек. Никогда не растирайте парфюм, позвольте ароматным капелькам парфюмерной воды, самостоятельно впитаться в кожу, тогда пирамида останется целой и невредимой, соответственно раскроется в своей естественной последовательности.",ОАЭ
https://goldapple.ru/83250100002-velvet-collection-liwa,WIDIAN Духи Velvet Collection Liwa 50 мл,18124,4.8,"Духи Aj Arabia Velvet Collection Liwa обладают ярким бодрящим ароматом, на создание которого парфюмеров вдохновил неукротимый дух Востока. Пьянящая композиция Velvet Collection Liwa раскрывается пряностью артемизии и жасмина, которые оттеняют изысканность бергамотовых нот и легкий шафрановый аккорд. Нежная герань и чувственная белая роза в сердце духов Aj Arabia плавно перетекают в оттенки амбры, пачули и ладана, а в шлейфе остаются терпкость сандалового дерева и дымные акценты белого кедра.",нет,ОАЭ
https://goldapple.ru/19000134758-radical-rose,MATIERE PREMIERE Парфюмерная вода RADICAL ROSE 50 мл,23850,4.6,"Оминирующую роль в ольфакторной пирамиде композиции Radical Rose играет нежная майская роза, в честь которой Орельен Гишар и назвал аромат. Парфюмер оттенил насыщенное цветочное звучание пряностью ямайского перца и шафрана, а в шлейф поместил землистые пачули и приглушенную восточную ноту лабданума.",Нанести на тело или одежду избегая попадания в глаза.,Франция
https://goldapple.ru/19000483323-bal-dafrique,Byredo Парфюмированный крем для тела Bal Dafrique 200 мл,9069,нет,"«Bal d’Afrique – один из самых ранних моих ароматов. В то же время, я чувствовал себя достаточно уверенно, чтобы придать аромату и фантазийную составляющую. Мой отец жил и путешествовал по Африке в течение 10-15 лет. Мне было интересно прочесть его дневники – то, как он путешествовал на грузовых судах, как знакомился с разными интересными людьми… Bal d’Afrique – это фантазийное путешествие в Африку, а также мое видение африканской культуры». Крем для тела содержит высокую концентрацию масла дерева ши (20%), которое состоит из жирных кислот, повышающих эластичность и уровень увлажненности кожи. Ши – природный источник витаминов А и Е, знаменитых своими регенерирующими свойствами.","Нанести легкими массажными движениями на чистую и сухую кожу тела после принятия душа или ванны, либо по мере необходимости.",Франция
https://goldapple.ru/19000322777-deep-ocean,Grass Ароматизатор Deep ocean 7 мл,388,5.0,"Ароматический автомобильный освежитель воздуха DEEP OCEAN. В форме квадратного стеклянного флакона с деревянной крышкой. Подвесной аксессуар украсит салон автомобиля и наполнит его нежным ароматом легендарной парфюмерной композиции из французских масел. Необычная и стильная подвеска будет привлекать внимание пассажиров. Масла, входящие в состав, позволяют ему быть насыщенным и в то же время мягким. Древесная ароматическая композиция, в которой благородство сандалового дерева встречается с сухими нотами кедра и яркостью цитрусовых. Грейпфрут, Лимон, Мята и Розовый перец образуют стартовый аккорд композиции, в сердце - Имбирь, мускатный орех и жасмин; базу составляют мускус, белый кедр, лабданум, ладан, пачули и сандал.","1\. Аккуратно извлечь флакон из упаковки 2.Открутить деревянную крышку 3. Снять с горлышка флакона защитную пробку 4. Закрутить деревянную крышку до легкого упора 5. Перевернуть флакон на 5-7 секунд, чтобы крышка пропиталась 6. Переворачивать флакон на 5 секунд, если аромат ослабеет.",Россия
https://goldapple.ru/19000306781-la-seine,BOULEVARD Парфюмерная вода LA SEINE 100 мл,2917,2.0,"Сена, символическая река Франции, пересекает Париж в центре, разделяя столицу на правый и левый берег. Её берега украшены аллеями, где с моста с мифической архитектурой можно наблюдать за знаменитыми продавцами букинистических книг и наблюдать за проплывающими мимо баржами на закате. Аромат La Seine от бренда Boulevard Paris создан как эликсир радости жизни с оттенком смелости. Это очень женственный аромат с очень естественными акцентами, сочетающими цветочные и фруктовые оттенки. Композиция открывается радостными нотами буколической прогулки, дикой лавандой и энергичным сочетанием солнечного мандарина и зеленой черной смородины. Этот воздух счастья уступает место переполненному женственностью сердцу, где лаванда становится определенно более чувственной, облаченной в роскошный жасмин и пудровые акценты флердоранжа. Отголоски лаванды переходят в древесные, бархатистые ноты жасмина и амброксана, создавая шлейф уверенной и абсолютной чувственности. La Seine – удивительная, амбициозная композиция, ориентированная на женщин, живущих страстно.",Распылять на кожу с расстояния 20-30 см.,Франция
https://goldapple.ru/19000454031-bazilik-tomatnyj-list-citrus,"ETERIA COSMO Парфюмированный гель для душа Базилик, томатный лист, цитрус 300 мл",635,5.0,"Натуральные экстракты и активные компоненты. Без парабенов, сульфатов и продуктов нефтепереработки. В составе косметических средств Eteria cosmo ухаживающий комплекс натуральных экстрактов календулы, ромашки и шалфея, который придает коже особую нежность и заботу. Календула обладает противовоспалительными свойствами, ромашка успокаивает и смягчает кожу, а шалфей тонизирует и оживляет. Парфюмированное мыло для рук и гель для душа Eteria cosmo обогащены активными компонентами — глицерином, мочевиной и пантенолом — для мягкого и эффективного увлажнения кожи.","Нанести небольшое количество продукта на влажную кожу, вспенить, смыть водой.",Россия
https://goldapple.ru/26770700001-roses-vanille,Mancera Парфюмерная вода Roses Vanille 120 мл,16549,4.7,"Аромат, посвященный путешествию по острову Бурбон в индийском океане. Здесь произрастает один из самых дорогих и ароматных сортов ванили – бурбонская ваниль, ставшая основой композиции. «Я собирался создать аромат, где господствовала бы ваниль. Для меня это воспоминания о детских каникулах, которые я проводил на юге Франции, недалеко от Марселя. О колониальных лавках и той странной, сладковатой дымке, которая окутывала весь город, когда в порт приходило судно с грузом пряностей – ванилью, шафраном, гуржуном. Словно перед глазами у меня стоит картина, где корабль приходят встречать женщины и дети, семьи моряков, и женщины обязательно украшены розами: цветы в волосах, бутоньерки на платьях, букеты в руках», - Пьер Мансера.",нет,Франция
https://goldapple.ru/19000486443-onyx,Zollider Подарочный набор Onyx 2 шт,1108,нет,"В состав набора входят: Парфюмированная вода Zollider Onyx — 50 мл. Мужской гель для душа Onyx — 60 мл. Подарочный набор для мужчин Zollider Onyx — это идеальное сочетание стиля, силы и утонченности, созданное для мужчины, который ценит качество и индивидуальность. Входящие в него парфюмированная вода и гель для душа гармонично дополняют друг друга, создавая изысканный образ. Парфюмированная вода Onyx — это аромат, который подчеркивает уверенность и харизму. Верхние ноты грейпфрута и мандарина заряжают энергией и свежестью, а морские аккорды добавляют легкость и свободу. В сердце аромата раскрываются жасмин и лавровый лист, соединяя утонченность с мужественностью. Завершают композицию глубокие древесные ноты гваякового дерева, мха, пачули и амбры, создавая стойкий и запоминающийся шлейф. Этот аромат идеально подходит для любого случая, подчеркивая стиль и статус своего обладателя. Гель для душа Onyx эффективно очищает кожу, даря ощущение свежести и тонуса, которое остается на весь день. Его аромат, идентичный парфюмированной воде, наполняет энергией и уверенностью. С каждым использованием вы чувствуете гармонию ярких цитрусовых нот, легкость морского бриза и глубину древесных аккордов. Подарочный набор Zollider Onyx — это не просто средства ухода, а возможность подчеркнуть стиль, уверенность и харизму. Такой набор станет отличным выбором для любого случая. Пусть каждый день будет наполнен свежестью и комфортом, а стиль и элегантность подчеркнуты изысканным ароматом. Zollider — мужской порядок и ничего лишнего.","1. Гель для душа: Нанесите небольшое количество геля для душа на тело, промассируйте и смойте водой. При необходимости повторите. 2. Парфюмированная вода: Распылите парфюмированную воду на чистую кожу в области пульса (запястья, шея) с расстояния 10-15 см. Избегайте попадания на одежду и в глаза.",Россия
